id,host_id,booking_id,name,neighbourhood_group,city,state,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
6993978,10969315,1594,Capitol Hill Trendy Neighborhood!,Downtown,Seattle,WA,98104,47.61013562,-122.3265201,Apartment,Shared room,2,1,1,1,Real Bed,f,strict,f,f,13,2015-07-16,2015-12-14,100,10,10,10,10,10,9,2.25
7258811,1243056,316,Lake Union Hacker House - 2FL 4p 2L,Other neighborhoods,Seattle,WA,98103,47.65085838,-122.3313378,House,Shared room,1,1,1,1,Real Bed,f,strict,f,f,0,,,,,,,,,,
7873208,7354306,3528,Crayola Home Green Room-Bunk bed 7,Capitol Hill,Seattle,WA,98112,47.63121579,-122.3034603,House,Shared room,1,3.5,1,1,Real Bed,f,strict,f,f,1,2015-08-29,2015-08-29,100,10,10,10,10,10,10,0.23
7873345,7354306,3530,Crayola Home Green Room-Bunk Bed 8,Capitol Hill,Seattle,WA,98112,47.62974045,-122.301834,House,Shared room,1,3.5,1,1,Real Bed,f,strict,f,f,7,2015-09-02,2015-12-31,89,10,9,10,9,9,9,1.68
8154238,1243056,691,UW Hacker House - 2nd flr 2p U,University District,Seattle,WA,98105,47.65732911,-122.3174674,House,Shared room,1,1,1,1,Real Bed,f,strict,f,f,0,,,,,,,,,,
8155580,1243056,782,UW Hacker House- 2nd flr 2p L,University District,Seattle,WA,98105,47.65824886,-122.3176389,House,Shared room,1,1,1,1,Real Bed,f,strict,f,f,1,2015-12-20,2015-12-20,100,8,8,8,8,10,8,1
8155710,1243056,797,UW Hacker House - 2nd flr 4p 1U,University District,Seattle,WA,98105,47.65688213,-122.318273,House,Shared room,1,1,1,1,Real Bed,f,strict,f,f,2,2015-12-08,2015-12-19,90,9,9,10,10,10,9,2
8156764,1243056,795,UW Hacker House - 2nd flr 4p 1L,University District,Seattle,WA,98105,47.65731409,-122.31976,House,Shared room,1,1,1,1,Real Bed,f,strict,f,f,0,,,,,,,,,,
8156860,1243056,799,UW Hacker House - 2nd flr 4p 2U,University District,Seattle,WA,98105,47.65697102,-122.3189181,House,Shared room,1,1,1,1,Real Bed,f,strict,f,f,0,,,,,,,,,,
8156894,1243056,740,UW Hacker House - 2nd flr 4p 2L,University District,Seattle,WA,98105,47.65865765,-122.3189667,House,Shared room,1,1,1,1,Real Bed,f,strict,f,f,0,,,,,,,,,,
8670484,7354306,3624,Crayola Home - Purple Room Bunk 5,Capitol Hill,Seattle,WA,98112,47.63088967,-122.3036002,House,Shared room,1,3.5,1,1,Real Bed,f,strict,f,f,2,2015-10-13,2015-10-21,100,10,10,10,10,10,10,0.71
10031055,48196470,780,The Herbal U,University District,Seattle,WA,98105,47.6669221,-122.3172019,House,Shared room,4,1.5,1,2,Real Bed,f,strict,f,f,0,,,,,,,,,,
9419,30559,3481,Golden Sun vintage warm/sunny,Other neighborhoods,Seattle,WA,98108,47.5506197,-122.3201354,House,Private room,2,3,1,1,Real Bed,f,strict,t,t,79,2010-07-30,2015-12-07,91,9,9,10,10,9,9,1.19
46022,205412,1862,Cottage in West Seattle ~ Guest BR,West Seattle,Seattle,WA,98126,47.55663242,-122.3772037,House,Private room,5,1,1,2,Real Bed,f,strict,f,f,5,2010-09-01,2012-04-02,99,9,10,10,10,10,10,0.08
84030,292232,554,Miradina Al Lago,Other neighborhoods,Seattle,WA,98103,47.68472182,-122.3388215,House,Private room,4,1,1,2,Real Bed,f,strict,f,f,60,2011-04-04,2015-08-24,88,9,9,10,9,10,9,1.04
117165,559827,1775,Suite+Office in Gorgeous View Home,West Seattle,Seattle,WA,98116,47.56841923,-122.4066165,House,Private room,2,1,1,1,Real Bed,f,strict,t,t,102,2011-08-16,2015-12-28,98,10,10,10,10,10,10,1.91
