id,price,weekly_price,monthly_price,guests_included,extra_people,security_deposit,cleaning_fee,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365
3316,$98.00 ,,,1,$0.00 ,$500.00 ,,1,1125,t,6,31,61,336
3317,$100.00 ,,,1,$0.00 ,,,2,29,t,0,0,0,37
3318,$36.00 ,,,1,$5.00 ,,$10.00 ,1,1125,t,5,30,59,59
3319,$80.00 ,,,1,$0.00 ,$300.00 ,$10.00 ,1,1125,t,19,49,79,354
3320,$199.00 ,,,8,$50.00 ,,$99.00 ,3,1125,t,30,60,90,150
3321,$139.00 ,$845.00 ,"$2,895.00 ",4,$0.00 ,,$170.00 ,2,180,t,5,35,65,308
3322,$150.00 ,$950.00 ,"$2,995.00 ",1,$0.00 ,,$170.00 ,2,1125,t,1,1,1,5
3323,$55.00 ,$300.00 ,"$1,100.00 ",2,$25.00 ,,$20.00 ,1,1125,t,30,60,90,365
3324,$125.00 ,$875.00 ,,0,$0.00 ,$125.00 ,$85.00 ,2,1125,t,30,60,90,365
3325,$150.00 ,,,2,$15.00 ,,$10.00 ,1,5,t,30,60,90,365
3326,$73.00 ,,,1,$0.00 ,,,1,1125,t,12,42,72,347
3327,$95.00 ,$550.00 ,"$1,450.00 ",1,$15.00 ,$250.00 ,$50.00 ,2,1125,t,3,4,19,294
3328,$88.00 ,,,1,$0.00 ,,,1,2,t,0,0,0,100
3329,$70.00 ,$420.00 ,"$1,750.00 ",2,$0.00 ,$100.00 ,,1,1125,t,29,59,89,364
3330,$100.00 ,,,1,$0.00 ,,$25.00 ,1,1125,t,0,0,0,0
3331,$100.00 ,$770.00 ,"$3,000.00 ",1,$0.00 ,,$25.00 ,3,1125,t,30,60,90,350
3332,$129.00 ,,,4,$29.00 ,,$89.00 ,1,1125,t,0,3,33,308
3333,$50.00 ,,,1,$0.00 ,,,1,1125,t,22,22,22,99
3334,$96.00 ,$275.00 ,$950.00 ,1,$5.00 ,,$20.00 ,1,90,t,22,52,82,357
3335,$85.00 ,,"$2,300.00 ",4,$15.00 ,$95.00 ,$60.00 ,3,1125,t,0,0,0,47
3336,$189.00 ,,,4,$10.00 ,,$85.00 ,3,10,t,0,0,0,247
3337,$55.00 ,$350.00 ,$900.00 ,1,$10.00 ,,,1,29,t,2,32,62,189
3338,$99.00 ,,,1,$0.00 ,,,4,1125,t,29,59,88,88
3339,$50.00 ,$340.00 ,,1,$0.00 ,$95.00 ,$20.00 ,1,10,t,29,59,89,178
3340,$65.00 ,$400.00 ,"$1,100.00 ",1,$10.00 ,,,1,1125,t,30,60,90,365
3341,$79.00 ,$475.00 ,"$1,350.00 ",1,$0.00 ,,$10.00 ,1,1125,t,5,31,61,336
3342,$55.00 ,$300.00 ,"$1,000.00 ",1,$10.00 ,,,1,1125,t,20,45,75,350
3343,$65.00 ,$292.00 ,"$8,979.00 ",1,$10.00 ,,,1,1125,t,30,60,90,365
3344,$95.00 ,,,0,$0.00 ,$100.00 ,$35.00 ,2,1125,t,23,49,74,338
3345,$100.00 ,,,2,$20.00 ,,$40.00 ,2,28,t,22,49,78,78
3346,$135.00 ,$800.00 ,"$2,500.00 ",2,$20.00 ,,,6,90,t,9,39,69,158
